form,doc,before,keyword,after,anchor
den,let001,,Den,Haag september Waarde Theo Dank voor,let001:0.2.0.0.2.0
den,let001a,,den,Haag Oct WelEd Heer Tot mijn,let001a:0.2.0.0.2
den,let001a,prijzen Zij zijn allen gekocht door,den,Heer v Stockum die er commissie,let001a:0.2.0.0.9
den,let001a,te weten te komen daar ik,den,zoon van den Heer v Stockum,let001a:0.2.0.0.12
den,let001a,komen daar ik den zoon van,den,Heer v Stockum ken hij mij,let001a:0.2.0.0.12
den,let002,,den,Haag December Waarde Theo Dat was,let002:0.2.0.0.2
den,let003,,Den,Haag Januari Waarde Theo Van huis,let003:0.2.0.0.2
den,let003,Vernier kost Daar werd ons in,den,winkel naar gevraagd ik weet dat,let003:0.2.0.0.23
den,let003,Brussel voorhanden is Ik zal je,den,volgenden keer dat ik schrijf mijn,let003:0.2.0.0.25
den,let004,,den,Haag Jan Waarde Theo Goed dat,let004:0.2.0.0.2
den,let004,Alfred Stevens is of hoe anders,den,voornaam is De photogr naar Rotta,let004:0.2.0.0.14
den,let004,pleizier Het album waarvan je mij,den,titel hebt opgegeven is het bedoelde,let004:0.2.0.0.14
den,let004,groeten aan Oom Tante ook aan,den,H r Schmidt Eduard Steeds je,let004:0.2.0.0.21
den,let005,,den,Haag Maart Waarde Theo Het wordt,let005:0.2.0.0.2
den,let005,merk ik pas hoe ik aan,den,Haag gehecht ben Maar enfin dat,let005:0.2.0.0.15
den,let005,winkel maar er wordt alleen aan,den,handel geleverd Oom Cent komt in,let005:0.2.0.0.28
den,let005,heel aardig vinden als wij op,den,zelfden dag kwamen Adieu Theo ik,let005:0.2.0.0.45
den,let006,à la Haye Goupil Cie Successeurs,den,Haag Maart Waarde Theo Zou je,let006:0.2.0.0.14
den,let007,la Haye Goupil C ie Successeurs,den,Haag Mei Waarde Theo Je moet,let007:0.2.0.0.14
den,let008,,den,Haag Mei Waarde Theo Maandag morgen,let008:0.2.0.0.2
den,let009,hoorde ik dat je tegenwoordig bij,den,Hr Schmidt in huis zijt dat,let009:0.2.0.0.9
den,let009,voor schilde rijen gezien hebt in,den,laatsten tijd ook of er wat,let009:0.2.0.0.9
den,let009,goed van op de hoogte hou,den,want in dat genre zie ik,let009:0.2.0.0.9
den,let009,huis die veel van muziek hou,den,zelf piano spelen zingen wat de,let009:0.2.0.0.13
den,let009,hier niet zoo druk als in,den,Haag daar ik maar van s’morgens,let009:0.2.0.0.13
den,let010,te huis gevoel Toch vergeet ik,den,Haag niet zou zeer zeer gaarne,let010:0.2.0.0.13
den,let010,Elisabeth schreef het voor mij over,den,laatsten avond dat ik te Helvoirt,let010:0.2.0.0.33
den,let010,des kruises zich zegent Wijl op,den,akker de boer zijn dampende rossen,let010:0.2.0.0.63
den,let010,in de voor laet gedijen Ook,den,kunstnaer die ginds op de helling,let010:0.2.0.0.74
den,let010,lommrigen heuvels Reeds van vroeg in,den,dag zoo druk heeft zitten te,let010:0.2.0.0.76
den,let010,weg zinkende in t Westen Gansch,den,schat van haer kleuren stralengetoover deed,let010:0.2.0.0.98
den,let010,stralengetoover deed stroomen t Klokje in,den,grijzen met zwartgroen veil omslingerden toren,let010:0.2.0.0.100
den,let010,van d’avonddauw om te slapen Onder,den,afscheidskus der zon stilzwijgend dankbaer Eens,let010:0.2.0.0.114
den,let010,der zon stilzwijgend dankbaer Eens nog,den,vrede de weelde herdacht die het,let010:0.2.0.0.116
den,let010,de verte uit een zonk van,den,heuvel weerklonken Langzaem slepend t vee,let010:0.2.0.0.122
den,let010,voorwaerts Wijl ze als bij beurte,den,hals uitstrekkend met vriendlijk loeijen Reeds,let010:0.2.0.0.132
den,let010,met vriendlijk loeijen Reeds van ver,den,stal begroeteden waer hen de melkster,let010:0.2.0.0.134
den,let010,madelieven kol op t hoofd die,den,andren van verre Hertlijk lustig te,let010:0.2.0.0.148
den,let010,baen waer t padje gevolgd door,den,schilder Heenliep klonk hem op eens,let010:0.2.0.0.152
den,let010,bloemen naer onderen strooijend Wijl om,den,wagen benêen een troep van meiden,let010:0.2.0.0.166
den,let010,zoo mompelde hij ja t moet,den,Heere Lieflijk klinken het blijde gejuich,let010:0.2.0.0.175
den,let011,dig juweelig mooie schilde rijen in,den,trant van dat van Linder Gij,let011:0.2.0.0.13
den,let011,en de Braekeleer Dat is niet,den,ouden de Braekeleer dien ik bedoel,let011:0.2.0.0.15
den,let011,Lies schreef het voor mij over,den,laatsten avond dat ik te huis,let011:0.2.0.0.23
den,let011,dikwijls aan dien wan deling op,den,Rijswijkschen weg waar wij aan den,let011:0.2.0.0.23
den,let011,den Rijswijkschen weg waar wij aan,den,molen na den regen melk gedronken,let011:0.2.0.0.23
den,let011,waar wij aan den molen na,den,regen melk gedronken hebben Als de,let011:0.2.0.0.23
den,let011,Weissenbruch je herrinnert je misschien wel,den,vrolijken Wijs is zijn bijnaam prrrachtig,let011:0.2.0.0.23
den,let011,des kruises zich zegent Wijl op,den,akker de boer zijn dampende rossen,let011:0.2.0.0.47
den,let011,in de voor doet gedijen Ook,den,kunstnaer die ginds op de helling,let011:0.2.0.0.58
den,let011,lommrigen heuvels Reeds van vroeg in,den,dag zoo druk heeft zitten te,let011:0.2.0.0.60
den,let011,weg zinkende in t Westen Gansch,den,schat van haer kleuren straelengetoover deed,let011:0.2.0.0.82
den,let011,straelengetoover deed stroomen t Klokje in,den,grijzen met zwartgroen veil omsluierden toren,let011:0.2.0.0.84
den,let011,van d’avonddauw om te slapen Onder,den,afscheidskus der zon stilzwijgend en dankbaer,let011:0.2.0.0.99
den,let011,en dankbaer Eens nog de weelde,den,vrêe herdacht die het weder gesmaekt,let011:0.2.0.0.101
den,let011,de verte uit een zonk van,den,heuvel weerklonken Langzaem slepend t vee,let011:0.2.0.0.106
den,let011,voorwaerts Wijl ze als bij beurte,den,hals uitstrekkend met vriendlijk loeijen Reeds,let011:0.2.0.0.116
den,let011,met vriendlijk loeijen Reeds van verre,den,stal begroeteden waer hen de melkster,let011:0.2.0.0.118
den,let011,madelieven kol op t hoofd die,den,andren van verre Hertlijk lustig te,let011:0.2.0.0.133
den,let011,baen waer t padje gevolgd door,den,schilder Heenliep klonk er op eens,let011:0.2.0.0.137
haag,let001,Den,Haag,september Waarde Theo Dank voor je,let001:0.2.0.0.2.0
haag,let001a,den,Haag,Oct WelEd Heer Tot mijn leed,let001a:0.2.0.0.2
haag,let002,den,Haag,December Waarde Theo Dat was een,let002:0.2.0.0.2
haag,let003,Den,Haag,Januari Waarde Theo Van huis hoorde,let003:0.2.0.0.2
haag,let004,den,Haag,Jan Waarde Theo Goed dat je,let004:0.2.0.0.2
haag,let005,den,Haag,Maart Waarde Theo Het wordt tijd,let005:0.2.0.0.2
haag,let005,ik pas hoe ik aan den,Haag,gehecht ben Maar enfin dat is,let005:0.2.0.0.15
haag,let006,la Haye Goupil Cie Successeurs den,Haag,Maart Waarde Theo Zou je eens,let006:0.2.0.0.14
haag,let007,Haye Goupil C ie Successeurs den,Haag,Mei Waarde Theo Je moet mij,let007:0.2.0.0.14
haag,let008,den,Haag,Mei Waarde Theo Maandag morgen vertrek,let008:0.2.0.0.2
