form,doc,before,keyword,after,anchor
three,edition,,Three,decisions with their provenance This paragraph,edition:0.1.0.0
decisions,edition,Three,decisions,with their provenance This paragraph is,edition:0.1.0.0
with,edition,Three decisions,with,their provenance This paragraph is ordinary,edition:0.1.0.0
their,edition,Three decisions with,their,provenance This paragraph is ordinary TEI,edition:0.1.0.0
provenance,edition,Three decisions with their,provenance,This paragraph is ordinary TEI Its,edition:0.1.0.0
this,edition,Three decisions with their provenance,This,paragraph is ordinary TEI Its paragraph,edition:0.1.0.1
this,edition,contract not from a rule in,this,edition’s ODD At autosave the born,edition:0.1.0.1
this,edition,writing environment recorded a save event,This,italic bold treatment is explicitly declared,edition:0.1.0.2
paragraph,edition,Three decisions with their provenance This,paragraph,is ordinary TEI Its paragraph behaviour,edition:0.1.0.1
paragraph,edition,This paragraph is ordinary TEI Its,paragraph,behaviour comes from the TEI All,edition:0.1.0.1
is,edition,decisions with their provenance This paragraph,is,ordinary TEI Its paragraph behaviour comes,edition:0.1.0.1
is,edition,save event This italic bold treatment,is,explicitly declared by the edition ODD,edition:0.1.0.2
is,edition,a block No element name switch,is,involved,edition:0.1.0.4
ordinary,edition,with their provenance This paragraph is,ordinary,TEI Its paragraph behaviour comes from,edition:0.1.0.1
tei,edition,their provenance This paragraph is ordinary,TEI,Its paragraph behaviour comes from the,edition:0.1.0.1
tei,edition,Its paragraph behaviour comes from the,TEI,All fallback contract not from a,edition:0.1.0.1
its,edition,provenance This paragraph is ordinary TEI,Its,paragraph behaviour comes from the TEI,edition:0.1.0.1
behaviour,edition,paragraph is ordinary TEI Its paragraph,behaviour,comes from the TEI All fallback,edition:0.1.0.1
comes,edition,is ordinary TEI Its paragraph behaviour,comes,from the TEI All fallback contract,edition:0.1.0.1
from,edition,ordinary TEI Its paragraph behaviour comes,from,the TEI All fallback contract not,edition:0.1.0.1
from,edition,the TEI All fallback contract not,from,a rule in this edition’s ODD,edition:0.1.0.1
the,edition,TEI Its paragraph behaviour comes from,the,TEI All fallback contract not from,edition:0.1.0.1
the,edition,in this edition’s ODD At autosave,the,born digital writing environment recorded a,edition:0.1.0.2
the,edition,bold treatment is explicitly declared by,the,edition ODD The event was produced,edition:0.1.0.2
the,edition,explicitly declared by the edition ODD,The,event was produced by Torchio The,edition:0.1.0.3
the,edition,The event was produced by Torchio,The,ODD’s web processing model turns the,edition:0.1.0.3
the,edition,The ODD’s web processing model turns,the,declared reference into a link Undated,edition:0.1.0.3
the,edition,Undated save event has no when,the,first ODD predicate does not match,edition:0.1.0.4
the,edition,ODD predicate does not match so,the,second ODD model renders it as,edition:0.1.0.4
all,edition,paragraph behaviour comes from the TEI,All,fallback contract not from a rule,edition:0.1.0.1
fallback,edition,behaviour comes from the TEI All,fallback,contract not from a rule in,edition:0.1.0.1
contract,edition,comes from the TEI All fallback,contract,not from a rule in this,edition:0.1.0.1
not,edition,from the TEI All fallback contract,not,from a rule in this edition’s,edition:0.1.0.1
not,edition,when the first ODD predicate does,not,match so the second ODD model,edition:0.1.0.4
a,edition,TEI All fallback contract not from,a,rule in this edition’s ODD At,edition:0.1.0.1
a,edition,the born digital writing environment recorded,a,save event This italic bold treatment,edition:0.1.0.2
a,edition,model turns the declared reference into,a,link Undated save event has no,edition:0.1.0.3
a,edition,second ODD model renders it as,a,block No element name switch is,edition:0.1.0.4
rule,edition,All fallback contract not from a,rule,in this edition’s ODD At autosave,edition:0.1.0.1
in,edition,fallback contract not from a rule,in,this edition’s ODD At autosave the,edition:0.1.0.1
edition’s,edition,not from a rule in this,edition’s,ODD At autosave the born digital,edition:0.1.0.1
